Source ; Target
cat ; dog
dog ; frog
frog ; rabbit
rabbit ; goat
goat ; pig
pig ; bear
bear ; tiger
tiger ; flamingo
flamingo ; lion
lion ; turtle
monkey ; parrot
parrot ; cow
cow ; cat
cat ; dog
dog ; dolphin
dolphin ; bird
bird ; scorpion
scorpion ; ant
ant ; spider
spider ; flamingo
flamingo ; lion
lion ; tiger
tiger ; chicken
frog ; dog
dog ; cow
cow ; pig
pig ; eagle
eagle ; cat
cat ; whale
whale ; shark
shark ; sheep
sheep ; lion
lion ; tiger
tiger ; elephant
elephant ; monkey
monkey ; fish
fish ; camel
camel ; horse
elephant ; lion
lion ; tiger
tiger ; crocodile
crocodile ; parrot
parrot ; bird
bird ; panther
panther ; cat
cat ; dog
dog ; snake
snake ; fox
mammal ; lion
lion ; tiger
tiger ; fish
fish ; elephant
elephant ; dolphin
dolphin ; shark
shark ; bull
bull ; cow
cow ; bee
bee ; sheep
sheep ; goat
goat ; leopard
dog ; crocodile
crocodile ; cat
cat ; leopard
leopard ; bride
bride ; butterfly
butterfly ; snake
dog ; cat
cat ; shark
shark ; hamster
hamster ; crocodile
crocodile ; giraffe
giraffe ; fish
fish ; catfish
catfish ; tiger
tiger ; lion
lion ; panther
panther ; rat
horse ; dog
dog ; cat
cat ; farm
farm ; lion
lion ; fish
fish ; shark
shark ; snail
snail ; nail
nail ; pig
pig ; rabbit
rabbit ; bird
horse ; dog
dog ; cat
cat ; elephant
elephant ; tiger
tiger ; lion
lion ; dolphin
dolphin ; fish
fish ; zebra
zebra ; gorilla
gorilla ; monkey
monkey ; shark
shark ; owl
owl ; bird
bird ; eagle
eagle ; butterfly
butterfly ; giraffe
giraffe ; snake
snake ; pig
dog ; cat
cat ; horse
horse ; lion
lion ; leopard
leopard ; monkey
monkey ; chimpanzee
chimpanzee ; hamster
hamster ; snake
snake ; turtle
turtle ; rat
rat ; rabbit
cow ; dog
dog ; cat
cat ; elephant
elephant ; rhino
rhino ; pig
pig ; hen
hen ; sheep
sheep ; cheken
cheken ; lamb
lamb ; rooster
rooster ; snake
dog ; cat
cat ; cow
cow ; pig
pig ; monkey
monkey ; gorilla
gorilla ; bird
cow ; snake
snake ; elephant
elephant ; goat
goat ; dog
dog ; cat
cat ; fish
fish ; whale
whale ; leopard
leopard ; lion
lion ; flock
lion ; tiger
tiger ; shark
shark ; cat
cat ; dog
dog ; whale
whale ; rabbit
dog ; cat
cat ; deer
deer ; pig
pig ; sheep
sheep ; fish
fish ; shark
shark ; monkey
monkey ; chicken
chicken ; giraffe
giraffe ; bird
dog ; cat
cat ; rabbit
rabbit ; horse
horse ; cow
cow ; cocdrile
cocdrile ; monkye
monkye ; fish
fish ; bird
dog ; cat
cat ; parrot
parrot ; snake
snake ; sheep
sheep ; cow
cow ; horse
horse ; fish
fish ; bird
bird ; giraffe
giraffe ; fly
fly ; hen
hen ; chicken
chicken ; pig
pig ; reptile
reptile ; shark
shark ; rabbit
cat ; dog
dog ; pig
pig ; rabbit
rabbit ; shark
shark ; cow
cow ; rat
rat ; rooster
rooster ; rooster
rooster ; ant
ant ; wasp
wasp ; beetle
beetle ; weevil
weevil ; butterfly
butterfly ; fly
dog ; cat
cat ; butterfly
butterfly ; bird
bird ; snail
snail ; elephant
elephant ; giraffe
cow ; dog
dog ; cat
cat ; fly
fly ; butterfly
butterfly ; mosquito
mosquito ; bee
bee ; sheep
sheep ; lion
lion ; horse
horse ; bug
bug ; fish
fish ; parrot
parrot ; ant
lion ; wolf
wolf ; fish
fish ; bird
bird ; snake
snake ; leopard
leopard ; zoo
zoo ; insect
lion ; ferret
ferret ; parrot
parrot ; dog
dog ; wolf
wolf ; horse
horse ; monkey
monkey ; octopus
octopus ; whale
whale ; hog
hog ; raven
raven ; pig
pig ; bear
bear ; flamingo
flamingo ; donkey
donkey ; zebra
zebra ; bird
bird ; fish
cat ; dog
dog ; pig
pig ; bird
bird ; lion
lion ; shark
shark ; tiger
tiger ; cow
cow ; fish
elephant ; rabbit
rabbit ; cat
cat ; dog
dog ; frog
frog ; horse
horse ; zebra
zebra ; horn
horn ; tail
tail ; fur
fur ; whisker
whisker ; cow
cow ; shhep
bee ; taiger
taiger ; fish
fish ; cow
cow ; bird
bird ; chicken
chicken ; dog
dog ; cat
cat ; elephant
elephant ; butterfly
dog ; rat
rat ; cat
cat ; lion
lion ; wolf
wolf ; rabbit
rabbit ; fish
fish ; bear
bear ; crab
crab ; turtle
turtle ; parrot
parrot ; eagle
eagle ; catfish
catfish ; chicken
chicken ; pig
pig ; cow
cat ; pig
pig ; horse
horse ; dog
dog ; monkey
monkey ; bee
bee ; shark
shark ; fish
fish ; bird
bird ; lizard
horse ; pig
pig ; dog
dog ; cat
cat ; puppy
puppy ; fish
fish ; mammal
mammal ; insect
insect ; butterfly
butterfly ; rabbit
rabbit ; tortoise
dog ; cat
cat ; butterfly
butterfly ; bee
bee ; sheep
sheep ; horse
cow ; milk
milk ; farm
farm ; lion
lion ; zebra
zebra ; chicken
lion ; tiger
tiger ; cat
cat ; dog
dog ; butterfly
butterfly ; sheep
sheep ; snake
snake ; fish
dog ; cat
cat ; paw
elephant ; lion
lion ; snake
snake ; shark
shark ; monky
