Source ; Target
pajaro ; elefante
elefante ; serpiente
serpiente ; dinosaurio
dinosaurio ; cocodrilo
cocodrilo ; pezespada
pezespada ; avestruz
avestruz ; kiwi
kiwi ; jirafa
jirafa ; rinoceronte
rinoceronte ; pez
pez ; tiburon
tiburon ; ballena
ballena ; leon
leon ; tigre
tigre ; hiena
hiena ; oso
oso ; foca
lobo ; linceiberico
linceiberico ; tigre
tigre ; pantera
pantera ; leopardo
leopardo ; guepardo
guepardo ; leon
leon ; elefante
elefante ; hipopotamo
hipopotamo ; dragondekomodo
dragondekomodo ; lagarto
lagarto ; rana
rana ; flamenco
flamenco ; mosca
mosca ; mosquito
mosquito ; abeja
abeja ; avispa
avispa ; hormiga
hormiga ; escorpion
escorpion ; pez
pez ; tiburon
tiburon ; estrellademar
estrellademar ; calamar
calamar ; molusco
molusco ; pulpo
gato ; perro
perro ; cabra
cabra ; cebra
cebra ; leon
leon ; hipopotamo
hipopotamo ; tiburon
tiburon ; ballena
ballena ; foca
foca ; pez
pez ; pantera
pantera ; tigre
tigre ; jaguar
jaguar ; rinoceronte
rinoceronte ; elefante
elefante ; canguro
canguro ; mono
mono ; gorila
gorila ; cerdo
cerdo ; gallina
gallina ; gallo
gallo ; ornitorrinco
ornitorrinco ; aguila
burro ; caballo
caballo ; tortuga
tortuga ; tiburon
tiburon ; manta
manta ; pez
pez ; anguila
anguila ; medusa
medusa ; tigre
tigre ; leon
leon ; hipopotamo
hipopotamo ; mono
mono ; cebra
cebra ; serpiente
serpiente ; cangrejo
cangrejo ; escorpion
escorpion ; nutria
nutria ; ciervo
ciervo ; estrellademar
estrellademar ; vaca
vaca ; toro
toro ; koala
koala ; oso
oso ; zarigueya
perro ; gato
gato ; tigre
tigre ; leon
leon ; elefante
elefante ; raton
raton ; rata
rata ; jirafa
jirafa ; pata
pata ; pezuna
pezuna ; pluma
pluma ; pelaje
pelaje ; erizo
erizo ; lombriz
lombriz ; gusano
gusano ; topo
topo ; mariposa
mariposa ; arana
arana ; mosca
mosca ; abeja
abeja ; avispa
perro ; gato
gato ; elefante
elefante ; ornitorrinco
ornitorrinco ; canguro
canguro ; aguila
aguila ; calamar
calamar ; mamut
mamut ; nu
nu ; vaca
vaca ; toro
toro ; loro
loro ; rinoceronte
rinoceronte ; dragondekomodo
dragondekomodo ; panda
panda ; oso
oso ; osopolar
osopolar ; pingüino
jirafa ; toro
toro ; tigre
tigre ; leon
leon ; ballena
ballena ; serpiente
serpiente ; elefante
elefante ; perro
perro ; loro
leon ; cebra
cebra ; mono
mono ; elefante
elefante ; cocodrilo
cocodrilo ; lagartija
lagartija ; tigre
tigre ; rata
rata ; raton
raton ; perro
perro ; gato
gato ; serpiente
serpiente ; conejo
conejo ; pajaro
pajaro ; pez
pez ; delfin
delfin ; ballena
ballena ; tiburon
tiburon ; avestruz
avestruz ; ciguena
ciguena ; aguila
aguila ; liebre
liebre ; oso
conejo ; gato
gato ; perro
perro ; caballo
caballo ; yegua
yegua ; loro
loro ; raton
raton ; cucaracha
cucaracha ; escorpion
escorpion ; serpiente
serpiente ; mono
mono ; raton
raton ; aguila
aguila ; libelula
libelula ; rana
rana ; escarabajo
escarabajo ; ciempies
ciempies ; gusano
gusano ; caracol
perro ; gato
gato ; leon
leon ; tigre
