Source ; Target
dear ; dearing
dearing ; like
like ; you
you ; love
love ; you
you ; lovely
lovely ; needto
needto ; redheart
redheart ; arrow
arrow ; angel
kiss ; hug
hug ; heart
heart ; butterfly
butterfly ; attention
attention ; selflove
selflove ; date
date ; film
couple ; heart
heart ; gift
gift ; saintvalentine
saintvalentine ; rose
rose ; dateon
card ; chocolate
chocolate ; saintvalentine
saintvalentine ; boyfriend
boyfriend ; footbal
footbal ; family
family ; crush
crush ; heart
heart ; life
life ; kiss
kiss ; me
me ; friend
friend ; world
rose ; wife
wife ; husband
husband ; cople
cople ; red
red ; heart
heart ; sex
card ; chocolate
chocolate ; saintvalentine
saintvalentine ; heart
heart ; kiss
kiss ; gift
gift ; boyfriend
boyfriend ; family
family ; friend
friend ; ballon
truelove ; girlfriend
girlfriend ; boyfriend
boyfriend ; cupid
cupid ; saintvalentine
saintvalentine ; chocolate
chocolate ; flower
flower ; heart
heart ; arrow
couple ; boyfriend
boyfriend ; girlfriend
girlfriend ; bride
bride ; celebration
celebration ; heart
heart ; red
red ; aniversarie
boyfriend ; girlfriend
girlfriend ; chocolate
chocolate ; present
present ; relationship
relationship ; meet
meet ; date
date ; restaurant
restaurant ; ring
ring ; beach
beach ; wind
wind ; sun
sun ; flower
flower ; sea
sea ; kiss
kiss ; baby
baby ; hand
hand ; s
couple ; girlfriend
girlfriend ; boyfriend
boyfriend ; marriage
marriage ; ring
ring ; wedding
wedding ; guest
guest ; honeymoon
honeymoon ; weddingdress
weddingdress ; suit
suit ; bachelorsparty
bachelorsparty ; jewelery
jewelery ; church
church ; reception
reception ; gift
gift ; food
food ; song
song ; relative
relative ; friend
friend ; priest
priest ; bouque
kiss ; heart
heart ; chocolate
chocolate ; gift
boyfriend ; familiy
familiy ; friend
friend ; pet
pet ; saintvalentine
fallinlove ; heartbrake
heartbrake ; heart
heart ; cupid
cupid ; saintvalentine
saintvalentine ; kiss
rose ; heart
heart ; red
red ; arrow
pear ; heart
heart ; red
red ; son
son ; kiss
kiss ; hug
boyfriend ; family
family ; redcolor
redcolor ; sanvalentinsday
sanvalentinsday ; friend
friend ; girlfriend
girlfriend ; sentiment
sentiment ; married
relationship ; girlfriend
girlfriend ; boyfriend
boyfriend ; present
present ; chocolate
chocolate ; flower
flower ; boyfriend
boyfriend ; kiss
kiss ; company
company ; help
help ; friend
friend ; heart
heart ; ring
ring ; child
mylove ; myboo
myboo ; dear
dear ; baby
baby ; sweetie
sweetie ; truelove
chocolate ; flower
flower ; teddy
teddy ; hug
hug ; kiss
kiss ; talk
talk ; card
heart ; boyfriend
boyfriend ; girlfriend
girlfriend ; couple
couple ; flower
flower ; chocolate
chocolate ; gift
gift ; letter
letter ; son
son ; friend
friend ; family
family ; engaged
engaged ; married
married ; father
father ; brother
saintvalentine ; kiss
kiss ; hear
hear ; eyecontact
eyecontact ; like
cuddle ; handmadegift
handmadegift ; kiss
kiss ; snuggle
snuggle ; hug
hug ; pathead
pathead ; comforting
comforting ; understandingeachother
understandingeachother ; couple
couple ; married
married ; boyfriend
boyfriend ; girlfriend
girlfriend ; holdhan
heart ; girlfriendsandboyfriend
girlfriendsandboyfriend ; family
family ; cupid
heart ; red
red ; pink
pink ; relationship
relationship ; family
family ; valentainesday
valentainesday ; happy
couple ; ring
ring ; flawer
flawer ; girl
girl ; boy
boy ; poem
poem ; friend
friend ; family
relationship ; person
person ; marriage
marriage ; family
heart ; cupid
cupid ; rous
rous ; chocolate
heart ; couple
couple ; saintvalentine
saintvalentine ; kiss
kiss ; embrace
embrace ; fl
boyfriend ; girlfriend
girlfriend ; flower
flower ; candy
candy ; chocolate
chocolate ; letter
letter ; gift
gift ; son
son ; daught
hug ; kiss
kiss ; cupid
cupid ; saintvalentine
saintvalentine ; chocolate
chocolate ; flower
flower ; child
saintvalentine ; chocolate
chocolate ; candy
candy ; kiss
kiss ; heart
heart ; kiss
kiss ; hug
hug ; pink
saintvalentine ; arrow
arrow ; kiss
kiss ; love
love ; practisethelove
practisethelove ; heart
heart ; red
red ; chocolate
chocolate ; flower
heart ; baloon
baloon ; flower
flower ; kiss
kiss ; hug
hug ; talk
talk ; pink
pink ; red
red ; cake
card ; chocolate
chocolate ; food
food ; drink
drink ; saintvalentine
saintvalentine ; heart
heart ; candy
heart ; boyfriend
boyfriend ; girlfriend
girlfriend ; kiss
kiss ; hug
hug ; respet
respet ; family
family ; friend
friend ; time
time ; present
present ; flower
flower ; detail
kiss ; love
love ; hug
hug ; saintvalentine
saintvalentine ; heart
heart ; girlfriend
heart ; kiss
kiss ; saintvalentine
saintvalentine ; chocolate
chocolate ; boyfriend
boyfriend ; girlfriend
girlfriend ; flower
flower ; rose
rose ; married
heart ; lovely
lovely ; girlfriend
girlfriend ; boyfriend
boyfriend ; saintvalentine
letter ; kiss
kiss ; hug
hug ; fellinlove
fellinlove ; chocolate
chocolate ; gift
gift ; takecareaboutaperson
sex ; saintvalentine
saintvalentine ; girlfriend
girlfriend ; love
love ; heart
cupid ; couple
couple ; darling
darling ; heart
heart ; saintvalentine
saintvalentine ; boyfriend
boyfriend ; girlfriend
girlfriend ; gift
gift ; pink
pink ; kiss
kiss ; relationship
relationship ; family
family ; pet
pet ; sweetheart
crush ; friendship
friendship ; relationship
relationship ; bestie
bestie ; friend
friend ; husband
husband ; father
father ; saintvalentine
saintvalentine ; heart
heart ; kiss
kiss ; flower
ring ; boyfriend
boyfriend ; girlfriend
girlfriend ; child
child ; husband
husband ; flower
flower ; house
house ; dolar
dolar ; vacation
vacation ; pa
girlfriend ; boyfriend
boyfriend ; cupid
cupid ; 14thoffebruary
14thoffebruary ; heath
heath ; female
female ; male
male ; feeling
boyfriend ; girlfriend
girlfriend ; kiss
kiss ; hug
hug ; saintvalentine
saintvalentine ; family
family ; company
kiss ; hug
hug ; boyfriend
boyfriend ; girlfriend
girlfriend ; bestfriend
bestfriend ; gift
gift ; saintsvalentine
saintsvalentine ; friend
friend ; heart
heart ; flowersroses
flowersroses ; arrow
arrow ; bow
heart ; confidence
confidence ; boyfriend
boyfriend ; girlfriend
girlfriend ; happiness
heart ; feeling
feeling ; handsome
handsome ; beautiful
beautiful ; happiness
happiness ; grateful
like ; enjoy
enjoy ; happiness
happiness ; feel
feel ; alot
alot ; somuch
somuch ; incredible
incredible ; spectacular
heart ; grateful
couple ; relationship
relationship ; trust
trust ; fidelity
fidelity ; communication
communication ; respect
respect ; family
family ; friend
friend ; romanticlove
romanticlove ; platoniclove
platoniclove ; selflove
selflove ; selfesteem
selfesteem ; familiarlove
familiarlove ; boyfriend
boyfriend ; girlfriend
girlfriend ; happiness
girlfriend ; boyfriend
boyfriend ; relationship
relationship ; saintvalentine
saintvalentine ; kiss
kiss ; hug
hug ; rose
rose ; unconditionalsupport
girlfriend ; love
love ; respect
girlfriend ; boyfriend
boyfriend ; heart
heart ; feeling
feeling ; connection 
connection  ; kiss
kiss ; happiness
happiness ; relationship
relationship ; felicity
respect ; comprehension
heart ; kiss
kiss ; wedding
wedding ; hug
hug ; girlfriend
girlfriend ; boyfriend
boyfriend ; present
present ; saintvalentine
saintvalentine ; chocolate
chocolate ; happy
confidence ; hug
hug ; kiss
kiss ; heart
heart ; red
red ; song
song ; boyfriend
boyfriend ; movie
pain ; rose
rose ; red
red ; heart
heart ; feeling
feeling ; gift
gift ; kiss
kiss ; fuck
fuck ; hug
hug ; cry
cry ; suffer
suffer ; happiness
life ; wife
wife ; world
world ; m
flower ; chocolate
chocolate ; relationship
relationship ; boyfriend
boyfriend ; girlfriend
girlfriend ; married
married ; ring
ring ; heart
heart ; feeling
feeling ; happy
saintvalentine ; girlfriend
girlfriend ; boyfriend
boyfriend ; heart
heart ; flower
heart ; rose
rose ; girlfriend
girlfriend ; boyfriend
boyfriend ; couple
couple ; lovesong
lovesong ; chocolate
chocolate ; beachwithyourgirlfriend
beachwithyourgirlfriend ; saintvalentine
saintvalentine ; happiness
relationship ; heart
heart ; kiss
kiss ; rose
rose ; boyfriend
boyfriend ; girlfriend
girlfriend ; family
family ; husband
husband ; groom
groom ; happiness
happiness ; present
present ; romance
romantic ; heart
heart ; red
red ; kiss
kiss ; person
person ; hug
hug ; girlfriend
girlfriend ; boyfriend
boyfriend ; present
present ; chocolate
hurt ; red
red ; kiss
kiss ; boyfriend
boyfriend ; girlfriend
girlfriend ; letter
letter ; ring
ring ; present
present ; friend
friend ; family
friend ; family
family ; boyfriend
boyfriend ; girlfriend
girlfriend ; bride
bride ; groom
groom ; present
present ; actofservice
actofservice ; bouquet
bouquet ; couple
couple ; chocolate
chocolate ; prettyword
prettyword ; heart
heart ; teddybear
passion ; red
red ; pink
pink ; gift
gift ; bouquet
bouquet ; flower
flower ; chocolate
chocolate ; date
date ; platoniclove
platoniclove ; firstdate
firstdate ; conversation
conversation ; holdhands
holdhands ; hug
hug ; kiss
kiss ; couple
couple ; baby
baby ; house
house ; happiness
heart ; beautiful
beautiful ; feeling
feeling ; care
sweetheart ; life
life ; myeveryting
